contestid,title,sponsor,details,start_time,end_time,amount,repo,findingsRepo,hide,league,repo_exists,repo_type,finding_repo_exists
84,Badger Citadel contest,BadgerDAO, Bringing BTC to DeFi,Fri Feb 04 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Feb 06 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$30,000 USDC",https://github.com/code-423n4/2022-02-badger-citadel,https://github.com/code-423n4/2022-02-badger-citadel-findings,False,eth,True,Foundry,True
102,Volt Protocol contest,Volt Protocol,Inflation Protected Stablecoin.,Thu Mar 31 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Apr 06 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$75,000 USDC",https://github.com/code-423n4/2022-03-volt,https://github.com/code-423n4/2022-03-volt-findings,False,eth,True,Foundry,True
105,Paladin contest,Paladin,A governance lending protocol transforming users voting power into a new money lego.,Tue Mar 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Apr 02 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$50,000 USDC",https://github.com/code-423n4/2022-03-paladin,https://github.com/code-423n4/2022-03-paladin-findings,False,eth,True,Foundry,True
106,Backed Protocol contest,Backed Protocol,Protocol for peer to peer NFT-Backed Loans.,Tue Apr 05 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Apr 07 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$30,000 USDC",https://github.com/code-423n4/2022-04-backed,https://github.com/code-423n4/2022-04-backed-findings,False,eth,True,Foundry,True
110,Badger Citadel contest,BadgerDAO,Bringing BTC to DeFi,Thu Apr 14 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Apr 20 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$75,000 USDC",https://github.com/code-423n4/2022-04-badger-citadel,https://github.com/code-423n4/2022-04-badger-citadel-findings,False,eth,True,Foundry,True
111,xTRIBE contest,Tribe,"A TRIBE tokenomic upgrade with multi-delegation, autocompounding rewards, and reward delegation",Thu Apr 21 2022 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Apr 27 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$75,000 USDC",https://github.com/code-423n4/2022-04-xtribe,https://github.com/code-423n4/2022-04-xtribe-findings,False,eth,True,Foundry,True
128,OpenSea Seaport contest,OpenSea,A marketplace contract for safely and efficiently creating and fulfilling orders for ERC721 and ERC1155 items.,Fri May 20 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 03 2022 23:59:00 GMT+0000 (Coordinated Universal Time),"$1,000,000 USDC",https://github.com/code-423n4/2022-05-opensea-seaport,https://github.com/code-423n4/2022-05-opensea-seaport-findings,False,eth,True,Foundry,True
144,Fractional v2 contest,Fractional,A collective ownership platform for NFTs on Ethereum.,Thu Jul 07 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Jul 14 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$75,000 USDC",https://github.com/code-423n4/2022-07-fractional,https://github.com/code-423n4/2022-07-fractional-findings,False,eth,True,Foundry,True
147,Yield Witch v2 contest,Yield,Fixed-rate borrowing and lending on Ethereum,Thu Jul 14 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Sun Jul 17 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$25,000 USDC",https://github.com/code-423n4/2022-07-yield,https://github.com/code-423n4/2022-07-yield-findings,False,eth,True,Foundry,True
152,Foundation Drop contest,Foundation,Foundation is a web3 destination.,Thu Aug 11 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 15 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$40,000 USDC",https://github.com/code-423n4/2022-08-foundation,https://github.com/code-423n4/2022-08-foundation-findings,False,eth,True,Foundry,True
